date,url,code,time_total,time_connect,time_appconnect,time_starttransfer
2019-11-29 09:06:14,digitec,200,0.200350,0.046995,0.097257,0.127599
2019-11-29 09:06:30,digitec,200,0.178630,0.041751,0.085593,0.119803
2019-11-29 09:06:45,digitec,200,0.160987,0.014179,0.062543,0.089907
2019-11-29 09:07:00,digitec,200,0.155892,0.025595,0.070732,0.102715
2019-11-29 09:07:15,digitec,200,0.175216,0.035871,0.062142,0.113448
2019-11-29 09:07:30,digitec,200,0.143884,0.012068,0.052043,0.075199
2019-11-29 09:07:46,digitec,200,0.177449,0.025650,0.075415,0.112135
2019-11-29 09:08:01,digitec,200,0.200312,0.023644,0.068166,0.106078
2019-11-29 09:08:16,digitec,200,0.167223,0.014471,0.062711,0.099191
2019-11-29 09:08:31,digitec,200,0.199044,0.027761,0.069831,0.120757
2019-11-29 09:08:47,digitec,200,0.163069,0.024524,0.069321,0.102183
2019-11-29 09:09:02,digitec,200,0.208122,0.039548,0.089164,0.117988
2019-11-29 09:09:17,digitec,200,0.137300,0.013132,0.047708,0.078287
2019-11-29 09:09:32,digitec,200,0.177991,0.025444,0.072422,0.109240
2019-11-29 09:09:47,digitec,200,0.151450,0.015081,0.062233,0.099262
2019-11-29 09:10:03,digitec,200,0.167357,0.021798,0.076379,0.107060
2019-11-29 09:10:18,digitec,200,0.333435,0.042773,0.123806,0.256185
2019-11-29 09:10:33,digitec,200,0.248608,0.039435,0.123531,0.176880
2019-11-29 09:10:49,digitec,200,0.207911,0.018354,0.063009,0.119213
2019-11-29 09:11:04,digitec,200,0.262354,0.044175,0.125580,0.180506
2019-11-29 09:11:19,digitec,200,0.145027,0.018127,0.050985,0.075373
2019-11-29 09:11:34,digitec,200,0.134245,0.010266,0.051381,0.071552
2019-11-29 09:11:49,digitec,200,0.169326,0.018553,0.058091,0.086506
2019-11-29 09:12:05,digitec,200,0.247139,0.045041,0.132032,0.173200
2019-11-29 09:12:20,digitec,200,0.184043,0.015886,0.061743,0.101300
